"NOx","C","E"
3.741,12,.907
2.295,12,.761
1.498,12,1.108
2.881,12,1.016
.76,12,1.189
3.12,9,1.001
.638,9,1.231
1.17,9,1.123
2.358,12,1.042
.606,12,1.215
3.669,12,.93
1,12,1.152
.981,15,1.138
1.192,18,.601
.926,7.5,.696
1.59,12,.686
1.806,12,1.072
1.962,15,1.074
4.028,15,.934
3.148,9,.808
1.836,9,1.071
2.845,7.5,1.009
1.013,7.5,1.142
.414,18,1.229
.812,18,1.175
.374,15,.568
3.623,15,.977
1.869,7.5,.767
2.836,7.5,1.006
3.567,9,.893
.866,15,1.152
1.369,15,.693
.542,15,1.232
2.739,15,1.036
1.2,15,1.125
1.719,9,1.081
3.423,9,.868
1.634,7.5,.762
1.021,7.5,1.144
2.157,7.5,1.045
3.361,18,.797
1.39,18,1.115
1.947,18,1.07
.962,18,1.219
.571,9,.637
2.219,9,.733
1.419,9,.715
3.519,9,.872
1.732,7.5,.765
3.206,7.5,.878
2.471,7.5,.811
1.777,15,.676
2.571,18,1.045
3.952,18,.968
3.931,15,.846
1.587,15,.684
1.397,7.5,.729
3.536,7.5,.911
2.202,7.5,.808
.756,7.5,1.168
1.62,7.5,.749
3.656,7.5,.892
2.964,7.5,1.002
3.76,18,.812
.672,18,1.23
3.677,18,.804
3.517,12,.813
3.29,12,1.002
1.139,9,.696
.727,9,1.199
2.581,9,1.03
.923,15,.602
1.527,15,.6940000000000001
3.388,15,.816
2.085,15,1.037
.966,15,1.181
3.488,7.5,.899
.754,7.5,1.227
.797,9,1.18
2.064,7.5,.795
3.732,18,.99
.586,18,1.201
.561,7.5,.629
.563,9,.608
.678,12,.584
.37,15,.562
.53,18,.535
1.9,18,.655
