seconds,size
13.59,wholegallon
11.72,wholegallon
12.29,wholegallon
14.87,wholegallon
9.53,wholegallon
12.81,wholegallon
10.26,wholegallon
10.11,wholegallon
8.56,wholegallon
16.35,wholegallon
12.83,wholegallon
9.95,wholegallon
10.37,wholegallon
12.44,wholegallon
14.78,wholegallon
14.16,wholegallon
12.79,wholegallon
9.18,wholegallon
11.09,wholegallon
9.81,wholegallon
6.36,wholegallon
14.99,wholegallon
14.63,wholegallon
10.85,wholegallon
13.65,wholegallon
12.19,wholegallon
12.14,wholegallon
11.59,wholegallon
13.2,wholegallon
12.47,wholegallon
12.76,wholegallon
11.22,wholegallon
11.31,wholegallon
13.36,wholegallon
14.48,wholegallon
13.28,wholegallon
14.17,wholegallon
13.68,wholegallon
13.42,wholegallon
10.57,wholegallon
9.87,halfgallon
9.89,halfgallon
10.34,halfgallon
9.27,halfgallon
10.75,halfgallon
9.41,halfgallon
10,halfgallon
10.69,halfgallon
10.24,halfgallon
9.62,halfgallon
9.7,halfgallon
10.19,halfgallon
11.04,halfgallon
10.13,halfgallon
9.53,halfgallon
9.37,halfgallon
11.34,halfgallon
10.18,halfgallon
10.01,halfgallon
10.63,halfgallon
10.21,halfgallon
9.69,halfgallon
10.28,halfgallon
10.38,halfgallon
8.51,halfgallon
10.89,halfgallon
9.12,halfgallon
8.61,halfgallon
10.1,halfgallon
9.24,halfgallon
9.96,halfgallon
10.64,halfgallon
10.74,halfgallon
9.74,halfgallon
9.62,halfgallon
10.48,halfgallon
10.08,halfgallon
9.58,halfgallon
10.04,halfgallon
9.29,halfgallon
