site,year,treatment,diameter,height,weight,age
1,1,1,2.23,3.76,0.17,3
1,1,1,2.12,3.15,0.15,3
1,1,1,1.06,1.85,0.02,3
1,1,1,2.12,3.64,0.16,3
1,1,1,2.99,4.64,0.37,3
1,1,1,4.01,5.25,0.73,3
1,1,1,2.41,4.07,0.22,3
1,1,1,2.75,4.72,0.3,3
1,1,1,2.2,4.17,0.19,3
2,1,1,4.09,5.73,0.78,3
2,1,1,3.62,5.1,0.6,3
2,1,1,4.77,5.54,1.11,3
2,1,1,1.39,2.4,0.04,3
2,1,1,2.89,4.48,0.32,3
2,1,1,3.9,4.84,0.07,3
2,1,1,1.52,2.9,0.07,3
2,1,1,4.51,5.27,0.79,3
2,1,1,1.18,2.2,0.03,3
2,1,1,3.17,4.93,0.44,3
2,1,1,3.33,4.89,0.52,3
1,1,2,4.88,6.68,1.34,3
1,1,2,2.73,4.91,0.3,3
1,1,2,3.05,5.46,0.46,3
1,1,2,2.11,3.7,0.14,3
1,1,2,1.03,1.85,0.02,3
1,1,2,4.84,6.86,1.26,3
1,1,2,5.28,6.82,1.54,3
1,1,2,1.66,3.28,0.08,3
1,1,2,1.57,2.86,0.08,3
2,1,2,4.38,6.45,1.16,3
2,1,2,2.21,4.08,0.18,3
2,1,2,4,6.16,0.93,3
2,1,2,2.45,5.16,0.3,3
2,1,2,2.59,4.87,0.33,3
2,1,2,2.89,5.48,0.4,3
2,1,2,5.5,7.14,1.98,3
2,1,2,3.13,6,0.59,3
2,1,2,1.37,3.12,0.06,3
2,1,2,2.07,3.86,0.17,3
2,1,2,4.45,6.48,1.21,3
1,1,3,3.26,5.07,0.47,3
1,1,3,4.19,5.6,0.8,3
1,1,3,4.03,5.68,0.81,3
1,1,3,2.42,4.14,0.23,3
1,1,3,1.3,2.5,0.04,3
1,1,3,3,4.46,0.34,3
1,1,3,2.93,4.75,0.36,3
1,1,3,2.21,3.62,0.16,3
1,1,3,1.44,2.82,0.05,3
2,1,3,1.91,3.19,0.11,3
2,1,3,4.11,5.12,0.65,3
2,1,3,1.89,2.94,0.08,3
2,1,3,3.75,5.08,0.62,3
2,1,3,2.73,3.65,0.25,3
2,1,3,3.41,4.45,0.39,3
2,1,3,1.17,1.15,0.01,3
2,1,3,1.58,1.55,0.03,3
1,1,4,5.73,7.34,2.03,3
1,1,4,2.64,4.4,0.27,3
1,1,4,4.65,7.2,1.42,3
1,1,4,3.76,6.75,0.92,3
1,1,4,4.92,7.1,1.34,3
1,1,4,3.09,6.35,0.56,3
1,1,4,4.22,6.85,1.07,3
1,1,4,5.13,7.14,1.64,3
1,1,4,6.14,7.59,2.38,3
2,1,4,2.28,3.92,0.22,3
2,1,4,5.46,7.66,2.13,3
2,1,4,5.84,8.02,2.33,3
2,1,4,2.72,4.86,0.37,3
2,1,4,2.57,5,0.32,3
2,1,4,4.95,7.32,1.74,3
2,1,4,3.03,5.52,0.51,3
2,1,4,1.94,3.22,0.12,3
2,1,4,3.5,5.9,0.63,3
2,2,1,2.66,3.92,0.24,3
2,2,1,4.7,6.45,1.26,3
2,2,1,5.07,6.66,1.54,3
2,2,1,5.24,6.54,1.16,3
2,2,1,5.33,6.88,1.69,3
2,2,1,4.78,6.82,1.23,3
2,2,1,4.46,5.98,0.99,3
2,2,1,5.5,6.74,1.48,3
2,2,1,5.54,6.86,1.8,3
2,2,2,4.07,5.73,0.8,3
2,2,2,4.18,6.05,0.92,3
2,2,2,1.67,3.01,0.07,3
2,2,2,5.42,6.57,1.69,3
2,2,2,3.35,5.31,0.56,3
2,2,2,5.04,6.62,1.74,3
2,2,2,4.69,6.26,1.21,3
2,2,2,4.62,6.21,1.13,3
2,2,2,5.36,6.6,1.46,3
2,2,2,3.15,4.95,0.48,3
2,2,3,4.1,6.41,0.96,3
2,2,3,5.18,6.83,1.43,3
2,2,3,4.72,6.5,1.26,3
2,2,3,5.41,6.82,1.57,3
2,2,3,3.2,5.4,0.53,3
2,2,3,4.47,6.8,1.04,3
2,2,3,3.92,5.79,0.72,3
2,2,3,4.65,6.46,1.08,3
2,2,3,4.47,6.32,1,3
2,2,4,4.47,6.42,1.07,3
2,2,4,5.25,7.07,1.63,3
2,2,4,2.65,4.49,0.29,3
2,2,4,5.75,7.16,2.02,3
2,2,4,5.89,6.96,1.88,3
2,2,4,5.02,6.9,1.39,3
2,2,4,3.31,5.37,0.49,3
2,2,4,4.49,6.27,0.95,3
2,2,4,6.25,7.46,2.17,3
2,2,4,3.73,5.85,0.68,3
1,2,1,4.74,6.49,1.21,3
1,2,1,3.49,5.78,0.59,3
1,2,1,5.2,5.84,1.2,3
1,2,1,3.4,5.54,0.57,3
1,2,1,3.3,5.49,0.56,3
1,2,1,2.05,4.1,0.13,3
1,2,1,5.09,6.25,1.3,3
1,2,1,4.69,6.09,1.12,3
1,2,2,4.27,6.27,0.94,3
1,2,2,4.28,5.61,0.87,3
1,2,2,4.85,6.4,1.24,3
1,2,2,3.19,4.96,0.46,3
1,2,2,3.6,5.37,0.58,3
1,2,2,4.45,6.04,1.03,3
1,2,2,4.14,5.61,0.75,3
1,2,3,1.85,2.9,0.07,3
1,2,3,3.89,5.51,0.66,3
1,2,3,2.8,4.71,0.29,3
1,2,3,2.05,3.25,0.1,3
1,2,3,1.95,3,0.09,3
1,2,3,3.06,4.9,0.36,3
1,2,3,4.76,6.3,1.03,3
1,2,3,4.17,5.85,0.73,3
1,2,3,4.18,6.08,0.82,3
1,2,3,4.45,6.12,0.94,3
1,2,4,3.98,6.25,0.85,3
1,2,4,3.29,5.32,0.51,3
1,2,4,5.52,6.91,1.78,3
1,2,4,5.57,6.73,1.47,3
1,2,4,5.73,7.34,2.13,3
1,2,4,3.76,5.82,0.67,3
1,2,4,5.78,7.28,2.25,3
1,2,4,6.1,7.32,2.59,3
1,2,4,5.69,6.79,1.64,3
2,1,1,4.37,6.95,1.24,4
2,1,1,6.57,7.98,3.24,4
2,1,1,6.13,7.76,2.51,4
2,1,1,6.04,7.54,2.68,4
2,1,1,5.22,7.07,1.71,4
2,1,1,6.06,7.6,2.61,4
2,1,1,2.55,4.87,0.25,4
2,1,1,3.62,6.31,0.82,4
2,1,1,6.01,7.32,2.27,4
2,1,2,6.88,9.1,3.82,4
2,1,2,4.02,7.2,1.1,4
2,1,2,7.05,8.88,4.16,4
2,1,2,7.47,9,4.92,4
2,1,2,7.12,9.1,4.38,4
2,1,2,4.05,7.12,1.1,4
2,1,2,7.07,8.79,4.49,4
2,1,2,4.98,8.06,1.8,4
2,1,3,5.91,7.27,2.26,4
2,1,3,5.48,6.77,2.17,4
2,1,3,6.39,7.74,2.84,4
2,1,3,5.29,7.2,1.68,4
2,1,3,2.88,4.68,0.35,4
2,1,3,6.25,7.33,2.71,4
2,1,3,4.18,6.02,0.99,4
2,1,3,4.52,6.9,1.14,4
2,1,3,5.42,7.15,2.36,4
2,1,3,7.84,7.86,4.05,4
2,1,4,6.33,8.64,3.37,4
2,1,4,7.33,9.04,4.34,4
2,1,4,5.8,7.77,2.9,4
2,1,4,7.57,9.37,5.21,4
2,1,4,-99,-99,-99,4
2,1,4,7.68,9.09,5.12,4
2,1,4,8.26,9.95,6.19,4
2,1,4,7.59,8.63,4.8,4
1,1,1,6.73,7.78,2.59,4
1,1,1,5.45,7.24,1.89,4
1,1,1,5.29,6.85,1.61,4
1,1,1,6.38,6.75,1.92,4
1,1,1,4.71,6.26,1.09,4
1,1,1,4.94,6.33,1.32,4
1,1,1,5.42,4.26,0.64,4
1,1,1,2.15,3.92,0.16,4
1,1,2,7.43,9.7,3.56,4
1,1,2,8.15,9.06,5.69,4
1,1,2,5.02,7.96,1.54,4
1,1,2,6.41,9.21,2.86,4
1,1,2,6.73,9.04,2.99,4
1,1,2,5.89,8.33,2.11,4
1,1,2,6.43,9.07,2.73,4
1,1,2,5.17,8.64,1.85,4
1,1,2,3.48,6.91,0.66,4
1,1,2,5.16,7.88,1.93,4
1,1,3,6.24,8.06,2.83,4
1,1,3,5.23,7.2,1.7,4
1,1,3,6.19,7.53,2.63,4
1,1,3,5.95,8.01,2.48,4
1,1,3,5.64,7.5,2.34,4
1,1,3,4.26,6.37,0.99,4
1,1,3,2.83,4.85,0.39,4
1,1,3,6.51,8.33,3.24,4
1,1,4,7.28,9.17,4.28,4
1,1,4,-99,-99,-99,4
1,1,4,5.33,8.42,2.36,4
1,1,4,6.05,8.65,2.85,4
1,1,4,6.69,9.01,3.83,4
1,1,4,7.54,9.25,4.79,4
1,1,4,6.94,9.07,4.33,4
1,1,4,5.48,8.07,2.12,4
1,1,4,6.58,8.84,3.83,4
1,1,4,-99,-99,-99,4
1,2,1,7.71,10.3,5.82,4
1,2,1,7.52,9.24,5.34,4
1,2,1,7.33,10.05,5.51,4
1,2,1,6.65,10.13,5.11,4
1,2,1,6.98,9.68,4.71,4
1,2,1,6.63,9.25,4.43,4
1,2,1,6.93,10.15,5.27,4
1,2,1,6.3,9.74,3.97,4
1,2,1,6.51,9.43,3.93,4
1,2,1,6.99,9.95,4.84,4
1,2,2,6.67,9.12,4.72,4
1,2,2,6.93,10.1,5.47,4
1,2,2,6.63,9.83,4.37,4
1,2,2,6.87,9.98,4.63,4
1,2,2,6.64,9.93,4.7,4
1,2,2,6.23,9.71,4.08,4
1,2,2,6.37,9.45,3.77,4
1,2,2,6.94,8.95,4.34,4
1,2,2,6.2,9.88,4.22,4
1,2,2,7.23,9.58,4.23,4
1,2,3,6.02,8.6,3.31,4
1,2,3,6.25,9.28,3.83,4
1,2,3,4.65,6.64,2,4
1,2,3,4.76,8.16,2.32,4
1,2,3,5.51,8.41,3.02,4
1,2,3,5.39,8.94,3.04,4
1,2,3,5.22,8.65,2.76,4
1,2,3,4.83,7.68,2.2,4
1,2,3,4.95,8.15,2.31,4
1,2,3,5.2,8.58,2.63,4
1,2,4,7.42,10.74,6.22,4
1,2,4,6.57,10.29,4.91,4
1,2,4,7.05,10.63,5.64,4
1,2,4,7.12,10.81,4.72,4
1,2,4,7.41,10.6,6.33,4
1,2,4,7.3,10.8,6.36,4
1,2,4,7.79,10.73,6.52,4
1,2,4,6.99,10.72,5.85,4
1,2,4,7.43,10.9,6.49,4
1,2,4,7.75,10.82,6.93,4
2,2,1,5.65,9.04,3.22,4
2,2,1,6.09,8.2,3.42,4
2,2,1,5.54,8.91,2.07,4
2,2,1,5.32,8.65,2.77,4
2,2,1,6,8.05,3.55,4
2,2,1,4.93,7.62,2.35,4
2,2,1,5.09,8.08,2.66,4
2,2,1,5.85,8.27,3.4,4
2,2,1,5.64,9.26,3.36,4
2,2,1,5.44,7.57,2.9,4
2,2,2,5.83,8.89,3.68,4
2,2,2,5.93,9.17,3.87,4
2,2,2,5.65,8.81,3.29,4
2,2,2,6.48,9.07,4.31,4
2,2,2,6.11,9.4,2.95,4
2,2,2,6.07,9.2,3.79,4
2,2,2,6.18,9.5,4.13,4
2,2,2,6.21,9.36,4.11,4
2,2,2,6.24,9.29,4.03,4
2,2,2,6.41,8.53,3.95,4
2,2,3,6.75,9.39,4.74,4
2,2,3,6.45,9.49,4.31,4
2,2,3,6.77,8.91,4.55,4
2,2,3,5.78,8.56,3.09,4
2,2,3,5.5,8.64,2.96,4
2,2,3,6.23,8.47,3.62,4
2,2,3,6.52,8.25,3.41,4
2,2,3,5.9,8.46,3.5,4
2,2,3,6.07,8.98,3.44,4
2,2,3,6.45,8.46,4.07,4
2,2,4,6.61,9.61,4.1,4
2,2,4,6.29,8.92,3.59,4
2,2,4,5.9,8.78,3.65,4
2,2,4,6.52,9.5,4.12,4
2,2,4,6.67,8.98,4.88,4
2,2,4,6.64,8.66,4.37,4
2,2,4,5.88,9.12,3.83,4
2,2,4,5.98,9.23,3.57,4
2,2,4,6.51,8.59,3.77,4
2,2,4,7.02,9.42,4.56,4
