score,county
127,County2
125,County2
127,County2
132,County2
139,County2
132,County2
125,County2
130,County2
131,County2
140,County2
130,County2
132,County2
134,County2
128,County2
137,County2
121,County2
121,County2
141,County2
141,County2
137,County2
126,County2
124,County2
124,County2
128,County2
145,County2
123,County2
126,County2
132,County2
135,County2
126,County2
128,County2
144,County2
121,County2
135,County2
125,County2
125,County2
136,County2
122,County2
130,County2
130,County2
130,County1
126,County1
139,County1
126,County1
124,County1
149,County1
124,County1
138,County1
138,County1
140,County1
127,County1
140,County1
124,County1
124,County1
121,County1
125,County1
134,County1
121,County1
125,County1
126,County1
122,County1
137,County1
146,County1
127,County1
124,County1
142,County1
122,County1
126,County1
124,County1
126,County1
121,County1
138,County1
124,County1
126,County1
137,County1
122,County1
131,County1
128,County1
122,County1
144,County1
