dopamine,classification
0.015,psychotic
0.0204,psychotic
0.0208,psychotic
0.0222,psychotic
0.0226,psychotic
0.0245,psychotic
0.027,psychotic
0.0275,psychotic
0.0306,psychotic
0.032,psychotic
0.0104,nonpsychotic
0.0105,nonpsychotic
0.0112,nonpsychotic
0.0116,nonpsychotic
0.013,nonpsychotic
0.0145,nonpsychotic
0.0154,nonpsychotic
0.0156,nonpsychotic
0.017,nonpsychotic
0.018,nonpsychotic
0.02,nonpsychotic
0.02,nonpsychotic
0.021,nonpsychotic
0.023,nonpsychotic
0.0252,nonpsychotic
