location,stage,defoli,yield,numseed
A,stage1,control,1667,877
B,stage1,control,3826,1054
C,stage1,control,2372,948
A,stage2,control,2061,981
B,stage2,control,2655,685
C,stage2,control,188,695
D,stage2,control,2309,758
A,stage3,control,222,738
B,stage3,control,3352,1154
D,stage3,control,2987,1049
A,stage4,control,1685,1073
B,stage4,control,311,954
C,stage4,control,1501,646
D,stage4,control,2122,799
B,stage5,control,3224,949
C,stage5,control,198,612
D,stage5,control,1724,554
D,stage5,control,234,709
A,stage1,treat1,1685,706
B,stage1,treat1,3176,1206
C,stage1,treat1,1812,745
A,stage2,treat1,2251,954
B,stage2,treat1,2737,1066
C,stage2,treat1,1839,695
D,stage2,treat1,2118,839
A,stage3,treat1,1654,1052
B,stage3,treat1,4289,1337
D,stage3,treat1,3028,1007
A,stage4,treat1,1531,729
B,stage4,treat1,3714,1378
C,stage4,treat1,1873,1001
D,stage4,treat1,2243,845
B,stage5,treat1,319,901
C,stage5,treat1,1684,691
D,stage5,treat1,233,895
D,stage5,treat1,182,657
A,stage1,treat2,1058,519
B,stage1,treat2,2501,591
C,stage1,treat2,17,837
A,stage2,treat2,1521,476
B,stage2,treat2,1718,639
C,stage2,treat2,1843,735
D,stage2,treat2,2007,788
A,stage3,treat2,1751,629
B,stage3,treat2,2704,629
D,stage3,treat2,2072,853
A,stage4,treat2,1824,545
B,stage4,treat2,334,1159
C,stage4,treat2,1938,747
D,stage4,treat2,1986,761
B,stage5,treat2,3371,117
C,stage5,treat2,1868,730
D,stage5,treat2,206,714
D,stage5,treat2,219,783
A,stage1,treat3,213,277
B,stage1,treat3,896,317
C,stage1,treat3,890,563
A,stage2,treat3,139,204
B,stage2,treat3,137,253
C,stage2,treat3,190,174
D,stage2,treat3,238,142
A,stage3,treat3,418,298
B,stage3,treat3,855,209
D,stage3,treat3,670,409
A,stage4,treat3,1157,1258
B,stage4,treat3,3255,1209
C,stage4,treat3,742,408
D,stage4,treat3,519,267
B,stage5,treat3,3256,1568
C,stage5,treat3,1454,631
D,stage5,treat3,206,695
D,stage5,treat3,311,1047
